,Feature Extractor,Dataset,Method,Fold,Sample Size,P,loss
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,0.11084890341856284,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,0.11084890341856284,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
3,ResNet34,NICO++,KN,autumn,10,1,9.383280645303936
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,0.11084890341856284,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
4,ResNet34,NICO++,KN,rock,10,1,10.024368655136538
